,data
28,khách 1270 lấy em 1 cái này thôi nha
29,khách 539 mình còn mẫu này kh shop
30,trương ngọc nhung e đổi size s đc kg
31,khách 13040 alo shop
32,khách 7399 oke shop
33,khách 3726 lấy e mẫu này đi a
34,quyên đặng giữ tui cho chi nha
35,khách 3651 da
36,khách 6323 e nhận được hàng rồi ạ đẹp lắm shop ơi
37,crystal luu live mới nhất ah
38,"sop oi , nay minh nhạn hàng mà k đúng màu , shop do soni lại cho m vơi"
39,khách 3430 cho c 1 set sz to nhất
40,khách 8431 cho số shipper cho em đi
41,khách 2893 c ơi
42,"cho em đổi màu nu đi, màu hạt dẻ không có đẹp"
43,khách 519 shop ơi
44,bữa s chốt set đen cho e r mà sao h giao set do son v
45,khách 518 mẫu này size m còn ko shop
46,khách 79 còn kg cj ơi
47,khách 441 bao nhiêu
48,"em cho chị đổi set nude này lấy set đồng với , chị k ưng set nude này"
49,khách 1047 gọi cho mnh ne quân áo đầm rất đẹpxxxxx
50,khách 695 còn mẫu này k gửi e shop oi
51,khách 1406 con hk chi lay em siez s ak
52,khách 7095 à vâng
53,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu tim mà nay lại nhận mẫu xanh này , shop ktra lại dùm e"
54,khách 4139 sét đó bn vậy ak
55,shop 195k nè
56,khách 786 tks e
57,khách 1373 còn mẫu này ko shop
58,Sao e đạt sai l mà shop giao size L cho e vậy
59,khách 1814 còn hàng báo mình nha
60,ngọc bích sét nay chi lấy
61,khách 1106 này chất liệu j ạ
62,khách 4120 mà m thì rộng quá
63,khách 1119 lấy mình mẫu này size s nha sh
64,khách 593 mẫu này còn ko
65,khách 683 cu lấy l cho chi
66,khách 710 đầm này còn ko e
67,khách 898 địa chỉ khối 14 thị trấn phù yên sơn la
68,khách 519 mình coi lại live thấy đẹp nên mình nt hỏi còn hok mình đặt
69,khách 386 sao mình nt mà không ai phản hồi vậy shop
70,khách 3199 ah set nay gia nhieu em
71,hoa hải đằng set vàng này còn ko e ơi
72,khách 1001 thanh ngọc xxxxx 7 14 2 đường 182 p tăng nhơn phú a q9
73,khách 3423 mẫu này có ai xã thì để mình 1c nha shop
74,khách 84 vậy cho m đặt set này
75,khách 2741 bnhiu z ạ
76,15 12 03 12 2019
77,khách 5932 lấy màu người mẫu mặc ấy nha chị
78,"S ship nhầm mau cho mình mình , m dat tim mà giao cam , cho mình xanh la cayi lai "
79,khách 11226 mh chọn set kh đổi mh voi
80,khách 926 mẫu này còn ko ạ cho m lấy size m đủ đơn đi luôn ạ
81,khách 5006 váy này nhiêu e
82,khách 771 còn thi lấy cho chị size s luôn roof gửi chung ko còn thi em gửi đơn kia đi
83,khách 5735 khi e nhận hàng mà lỗi thì e trả hàng e có mất ship k shop
84,khách 942 đầm này sz m hoặc l còn ko sho
85,khách 1376 chốt dùm c 2 mã ni với e c cm hoài mà ẩn hoài ấy
86,E dat size l mà sao sop giao size L
87,khách 735 đơn hàng c ck hết rồi mà
88,khách 5845 rồi mất tiêu tới giờ nói chung shop bán hàng đẹp rẻ cũng thích lắm mà mới mua hàng lần đầu bị vậy k giải quyết được k dám mua nữa luôn buồn dễ sợ
89,khách 1629 alo
90,"S ship nhầm mau cho mình mình , m dat cá hồi mà giao cam , cho mình doi lai "
91,khách 9681 có mấy size vay shop
92,khách 6226 rep ib của em với shop
93,khách 5496 bên em giao đồ trùng mẫu tính tiền thì bị thiếu mà là thiếu của bên em ak qua tr đồ mà có 7xx thiếu tận trăm mấy
94,nguyễn hang liên hệ tư vấn viên
95,khách 1388 cùng size s
96,khách 831 e ơi
97,khách 756 cho phu so n a p phu so n xa ba c so n huye n tra ng bom ti nh đo ng nai sdt xxxxx
98,khách 5658 dạ
99,khách 6779 hj
100,khách 3194 có gởi hàng thì báo lại mình nhé
101,"nay minh nhan hang mà size XL ben shop chat qua , m doi lai size l dc k"
102,khách 1629 alo
103,khách 188 mi nh mo i đa t set na y tre n live ho i chie u ho m qua ma chu a tha y ai go i cho t a
104,khách 4776 lấy e màu hồng nha c
105,khách 174 bnhiu e
106,tạ thương ao dài nay con ko ship cho mình nha
107,"Ủa shop , em đặt mẫu hồng sao giao mẫu do yen chi "
108,khách 10445 dạ ok shop ạ
109,khách 7077 ok e
110,khách 1270 shop rep inb em với
111,bữa s chốt set vang cho e r mà sao h giao set nude v
112,khách 9581 ok e c gửi set mất nút về shop rùi ak nha
113,khách 8561 hi shop
114,bùi thủy hôm nay shop mình live không ạ
115,khách 752 này còn hàng ko
116,khách 6166 vâng
117,crystal luu để danh bận
118,khách 2506 159 211 pho co dieu p6 q11
119,khách 2678 ib
120,"S ơi, gửi sai màu cho em rồii e đặt ametit gửi em màu cam v"
121,khách 11441 hen gi chi goi lai qua troi ma kg bat may
122,khách 728 hôm trươ c chị dc chô t nhiê u lă m giơ tìm ko dc mẫu
123,"cho em đổi màu nu đi, màu hong sam không có đẹp"
124,khách 7813 cho em hỏi những mẫu này có size kh ạ
125,khách 2491 size m
126,khách 633 size m nha e
127,"shop ơi váy này màu lục bảo em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
128,khách 752 lấy chị cả set này đi
129,khách 694 c là facebook phạm hồng sang
130,"em cho chị đổi set long dao này lấy set trắng với , chị k ưng set long dao này"
131,khách 10968 ok e
132,"hạt dẻi em dam nay mau reu dc k shop, mau nay ken da qua"
133,khách 3949 alo r oi
134,khách 1047 mấy mẫu này còn kg c
135,khách 10263 dạxxxxx
136,khách 3978 giá nhiu ak shop
137,khách 5895 mẫu này l bao nhiêu kg ạ
138,"ủa shop , e thấy trên live màu ho phach này đẹp lắm mà , sao e đặt về nó đậm v,e đổi màu đc ko
"
139,shop ax
140,"Shop giao sai màu cho e r, đặt màu hồng sao giao màu đồng"
141,khách 890 nếu đúng lấy cho mình luôn nha
142,khách 2122 sao e đặt đầm size s mà gửi size l a
143,shop dạ c lấy thì kèm e sđt địa chỉ e chốt cho c nha
144,khách 742 đầm bi xanh chot tren live ma het ha e
145,khách 735 ok e
146,khách 11481 gửi nhầm cho c rồi
147,khách 258 ok thanks em
148,khách 749 shop ơi sét này còn để dành cho e với ạ
149,khách 1593 gui cho c 1 c đi mau đen hay da cung dc chi k co tg xem live
150,khách 2876 ok
151,oanh nguyễn quần jean thì c mặc sz 27 eo 59 mông 90 ak c e lấy giúp c nha
152,khách 7394 mẫu này còn ko ạ có mấy màu mấy size v ạ
153,khách 5769 ok
154,khách 771 với cái áo chôt trên live
155,mỹ trang de c mang ra tiem thu sao
156,khách 1479 bên mình gọi e chưa kịp đọc lại địa chỉ đã cúp máy rồi e gọi lại mấy cuộc máy bận ko liên lạc dc shop gửi đúng địa chỉ nhà ở trên nhé dồn 2 đơn áo thun vô giùm e luôn hôm qua bên mình gọi e bận cho e bé bú ko nge máy dc gọi lại thì bên shop báo là nhiều người ko nghe máy chút gọi lại mà đến hôm nay vẫn ko có ai gọi lại
157,khách 981 hàng bị lỗi với nhầm size nha shop
158,khách 387 ok shop
159,khách 952 mẫu này còn k shop
160,khách 4436 c oi
161,khách 722 m xem la i live do m ko nghe cho t tu i ro i ne n m cho t nha m the m 1 la n nu a cho m xa bớt 1 túi nâu dc ko ạ
162,khách 3734 alo shop
163,khách 658 đơn tối qua chốt hàng chưa shop ơi
164,khách 1514 dr ak
165,khách 12986 giá bn
166,trang nguyen alo alo
167,khách 922 áo màu hồng
168,khách 1779 set này bao nhiêu v shop
169,khách 12011 ok e c biet roi nhug nhi n live đô đep ma e
170,khách 1377 còn mẫu này ko e
171,"cami em dam nay mau reu dc k shop, mau nay ken da qua"
172,khách 4206 mă c side na o e
173,"cho em đổi mầu này lấy màu nâu tanin được k shop , e mặc k hợp"
174,khách 2514 shop cho mh 1 cái size l nhé
175,khách 1354 đồ đẹp quá
176,khách 430 sét này còn ko e ơi
177,khách 6759 shop ơi
178,khách 771 lấy 2 cái đi
179,khách 563 vậy hả e c thích sét trắng đen hơn nếu có ai kg nghe máy thì e để cho c nha
180,nguyễn tuyền set hoa đen
181,lâm khả hân liên hệ tư vấn viên
182,"nay minh mới nhận hàng bên shop mà thay giao sai màu , shop ametiti lai cho e với"
183,khách 12660 shop oi
184,khách 3978 set xanh bn ạ
185,khách 4046 gia bn vay
186,khách 692 alo em
187,khách 722 rồi nhé shop m thì mua có bill ck nhanh ok chỉ cần shop chốt đơn ok cho minh với lỡ m có nhỡ cuộc gọi thì gọi lại giúp mình ko bao giờ boom hàng
188,khách 13045 b oi
189,khách 771 uk
190,khách 3864 check ib giúp e ạ
191,khách 2527 v ship c 3 cái còn lại
192,minh nhi còn 4 sản phẩm đó lấy cho e nha shop
193,khách 2876 shop sỉ sao ạ
194,khách 999 mẫu này còn ko e
195,khách 987 c ơi giỏ còn k ạ
196,mỹ trang thuibg le thay moc hong ben ngoai
197,khách 875 cho em địa chi tới coi hàng nha
198,khách 4756 hy vọng lần sau sop gửi đúng mẫu và bớt tý tiêng síp cho e chứ mua 5 cái sửa cả t mất tiền bằng 1 cái váy huhu
199,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao màu trắng "
200,khách 5607 ok
201,khách 1461 emma kiều xxxxx địa chỉ 5b sky garden 2 đu o ng pha m va n nghi phu my hu ng ta n phong qua n 7 co ng xe o to đo ng 4 đu o ng pha m va n nghi va le va n thie m
202,khách 758 giá thế nào
203,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng mà nay lại nhận mẫu chàm này , shop ktra lại dùm e"
204,khách 2527 e oi
205,khách 1629 ib e vs
206,khách 926 hi shop
207,khách 7440 ok
208,khách 6113 chi oi
209,khách 6098 ship e 1 set nha
210,khách 1429 hồng hạnh trường tiểu học thuỷ bằng hương thuỷ huế
211,khách 13205 e ơi hqua e có gọi chốt áo thun đen có con gấu sau lưng cho c mà c bị nhỡ
212,khách 755 dạ
213,thạch thảo e muốn đặt
214,shop e chô t c a o ren vơ i a o da luôn c
215,khách 4922 cai này e giao nhầm size s c kg vừa c đặt size l
216,khách 9242 em vẫn k nhận đc hàng
217,"S ship nhầm mau cho mình mình , m dat tim mà giao đồng , cho mình doi lai "
218,khách 740 gửi theo sdt nào ạ
219,"sóp ơi giao sai mầu cho e r, em đặt mầu cam giao màu tim thế ạ"
220,khách 1168 chị ko mặc thử jo về coi lại thấy bị lỗi rồi
221,khách 5956 sz m bên mình mấy ký vừa ạ
222,khách 1967 mỗi bộ bn ạ
223,khách 3666 dạ
224,"shop gui nham mau cho em r , em dat cam cháy mà shop giao den"
225,khách 1234 mình đặt cái này size m mà mãi ko thấy shop gửi
226,khách 6240 mình mua 2 bộ này bị nhỏ sao b
227,khách 9840 chị đặt size m mà giao chị size s nên kéo ko lên
228,khách 1779 dạ
229,khách 4669 dạ
230,khách 6773 cho chị gởi lại mẫu này dc ko hang ơi cái tay áo nhỏ chị mặc ko vừa tiền ship che trả
231,kim di còn shop oi
232,khách 8138 ok
233,khách 9406 sao c chua nhận đc áo váy
234,khách 730 b7 mxxxxx
235,liêu bảy get started
236,khách 633 sét này còn kg shop
237,khách 8335 dạxxxxx
238,khách 472 còn sét trắng này k ạ
239,khách 812 1m55 nặng 55kg
240,khách 9262 chị mặc size j
241,"em mặc màu cam này k hợp lắm, cho e đổi sang màu xanh hoàng hôn dc k s"
242,khách 11441 hj
243,thơ nguyễn minh e lấy 1 cái
244,khách 482 mẫu đó còn k shop
245,"E đặt mầu xanh , shop giao lộn em màu màu da , đổi lại cho em với ạ"
246,khách 4158 đầm shop giao nhầm 265
247,khách 911 cái sét 3 món là em lấy màu cam nha chị tại chị phương không cho xem màu cam nên e k chụp lại được
248,khách 4406 số đt này có phải của shop kg sao mình đt kg nghe máy shop
249,khách 988 hoa này nhé e
250,khách 8652 dạ
251,an an em co ck ghi thanh công ngay gio rõ ràng
252,khách 1021 túi trắng chữ h chị phương về hàng thêm shop cho e đặt 1 túi này nga
253,khách 4079 giá sp là bnhiu
254,khách 948 shop ơiii
255,khách 7813 mong chị tl giúp em sớm ạ
256,khách 8213 mà sao gửi e 1 bộ à c
257,khách 4632 à dạ vậy lấy cho e cái đó nữa nha
258,khách 132 check inb c
259,khách 3296 chất liệu vải là gì ạ
260,vân yên yên quần short jean trắng
261,khách 12745 sao ko thấy shop phản hồi
262,khách 745 còn không ạ shop
263,khách 689 bên e còn set này k vậy
264,khách 3429 còn sz m thì gửi cho c 1 ca i ve dia chi
265,khách 3419 có ai đang online để chat không
266,khách 5697 nhiu bộ v shop
267,cindy suong cho mình hai bộ này nhé xxxxx
268,mỹ trang check dum c con 2 mau nay ko
269,khách 4105 này nhiu ạ
270,minh nhi xxxxx
271,khách 3772 v cũng đc c
272,dieu nguyen c con cai ao len tay dài nữa
273,khách 1362 va i co dâ y ko ạ
274,khách 3620 c oi
275,an an ok stk cua minh ten tran thi thu an nha
276,khách 896 ba mẫu này cho mình mình nhé
277,khách 7058 roi em
278,khách 922 nuoc hoa nay het ak
279,khách 958 k fai đầm hoa đâu e mà là set bộ hoa chứ nhỉ
280,mình đặt set này màu hoa ca mà trông hơi già
281,khách 5458 bạn ơi
282,"shop giao nham size S cho em r , em dat size S co ma , đổi lại cho e di"
283,khách 2053 dầm dó bao nhiêu ạ
284,mỹ trang vay thoi
285,"shop ơi váy này màu ô liu em mặc k đẹp lắm, shop đôi màu trắng cho em dc k ak"
286,khách 12226 giá bao nhiêu ạ
287,khách 9682 cho em xin giá 2 mẫu váy này với ạ
288,khách 13020 chị đặt 2 đầm sau giao chị có 1 cái vậy
289,khách 742 sao c đặt trên live k đọc tên c vậy
290,khách 12511 ok e
291,khách 3747 ok nha em
292,khách 6039 mẫu này còn ship gộp đơn mình ch size s nha
293,ko thì đổi c màu trắng cug dc
294,khách 771 vậy chị nạp cho em số lẻ nha 225 ngàn khi nào nhận đồ chị thanh toán 500
295,khách 3911 da dc
296,ánh hồngxxxxx trường tiểu học tri thức tổ 30 khu phước hải thị trấn long thành đồng nai
297,Sao  e dat mãu lan tim mà shop giao mẫu vàng cho e v
298,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao ho phach "
299,alice nguyễn sét này còn ko ak
300,"Sốp giao nhầm mâux cho e r , em đạt set trắng mà giao set ametit"
301,khách 8488 shop kiểm tra giúp e đơn e bị lỗi e gửi đi t2 tuần trước đến giờ shop nhận đc chưa ạ
302,khách 4597 hàng chuẩn đẹp ủng hộ còn nh á
303,khách 997 cho em đặt set này
304,khách 1778 ok ạ
305,khách 10259 con thi goi cho minh nhe
306,"cam chayi em dam nay mau reu dc k shop, mau nay ken da qua"
307,khách 1327 đầm này còn size m ko ạ
308,bùi thanh vy chi chốt em chưua
309,khách 663 c oi bô nay con hok
310,khách 4159 vải đẹp k c
311,"em cho chị đổi set nude này lấy set do son với , chị k ưng set nude này"
312,khách 228 dạ shop cho e hỏi ship bên mình ship tỉnh bnhiu tiền ạ
313,khách 1149 alo shop
314,khách 999 e ơi
315,khách 771 vậy lấy cho chị hai cái đó
316,Sao  e dat mãu bạc mà shop giao mẫu vàng cho e v
317,khách 958 ok e
318,khách 732 vì mua đồ suốt nên mình ko nghĩ là tang 5k 10k vay
319,khách 2812 tổng của e bn
320,khách 1002 hươngxxxxx 186 lê duẩn hai ba trung ha noi minh lay 2 mau tren thoi nhe
321,khách 7440 ok nha
322,khách 8503 e lấy 1 bộ
323,khách 5038 dạ
324,khách 732 ok thanks shop
325,khách 6355 ok ạ
326,khách 12889 có may màu a
327,"dam nay size xl rong qua e mạc k đc, shop cho e doi size xl với"
328,khách 4801 vay nay gia bn
329,khách 5339 ok
330,khách 1936 e mới vừa nhân bên c chất đẹp lắm ạ mặc vừa vì e 57kg mà bon chen vẫn ok
331,khách 1018 1 cái đỏ phối trắng 150
332,khách 12950 chưa thấy nha em
333,khách 495 mẫu này còn ko chị
334,khách 1447 hi shop
335,bích huyền sét này còn ko ạ
336,"shop gui nham mau cho em r , em dat long dao mà shop giao den"
337,khách 831 em ơi
338,khách 3868 ok e
339,thơm minh e đặt mak hok biêt là co bị ẩn hok
340,hương giang nếu k bóp dc lấy e s
341,sao e chốt set rêu -mà giao em set xanh nõn chuối v shop
342,mỹ trang dam nay con hok e
343,khách 898 đ c khối 14 thị trấn py sơn la
344,shop ạ
345,khách 5997 còn để t 1c nha
346,khách 6562 nay bnhiu z shop
347,khách 5997 uhm e
348,em dạt set caro xanh hoang hon đen mà shop giao gì kỳ v
349,khách 917 v lấy áo trắng sz m s nhe
350,alo
351,khách 5406 shop oi
352,yen nhu nguyen la chi nhan hang có phai trả tien ship nữa ko em
353,"sốp ơi, cho em đổi màu này lấy màu man đc k , em k thích màu này cho lắm"
354,khách 1281 1m50 40kg mặc size j ạ
355,khách 4579 za
356,khách 10273 c ơi e có gửi lại mẫu sai về shop chị rồi hôm qua có gọi em nhưng e ngủ quên k biết e đợi cả ngày vẫn không thấy gọi lại c gọi lại giúp e đc k
357,chang vũ ship minh nha shop
358,"shop ktra lại dùm e , e đặt set caro cham đen mà nay lại ship set nay cho e "
359,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao vàng chanh "
360,khách 3523 c ơi e có 1 set đồ hơn 1 tuần r chưa thấy gửi ạ
361,khách 751 c ck rồi nha e
362,khách 702 shop ơi
363,khách 3849 bao nhieu z shop
364,quyên đặng hom nay co live ko de c xem them live hom nay r chôt dc ko
365,kim di còn kh shop ơi
366,khách 678 mấy mẫu này còn ko
367,sao e chốt set rêu -mà giao em set tim v shop
368,khách 1360 size l
369,khách 1003 e lay đầm nay màu vàng
370,mymy chen lấy mình 4 chai này
371,"màu vàng này trên live nhạt mà sao về đậm quá shop, cho e đổi sang mận với"
372,khách 1437 mẫu này còn k c
373,khách 659 đầm này còn ko em
374,khách 1061 còn k e
375,khách 416 có ai ko lây thì gởi chị nhé cảm ơn e
376,khách 635 dạ 72 đất thánh p 6 quận tân bìnhxxxxx nha shop
377,khách 765 da vậy đam do size m e dc chot chua a
378,khách 7628 cai nay do shop kiem tra hang k can than gui hang loi cho minh chu co phai loi do minh dau ma minh phai chiu 2 lan tien ship khong le minh mua 1 cai vay 199k ma khi nhan hang thanh 275k ah shop
379,khách 2626 chất vải là gì ạ
380,khách 5081 dạ ok
381,tho nguyễn còn nguyen xi chưa tháo bọc
382,khách 771 vậy 3 cái kia thôi
383,khách 349 shop oi cho e xả đơn cái đầm trắng xô 215k nha e xin lỗi ạ so dtxxxxx
384,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng mà nay lại nhận mẫu xanh hoàng hôn này , shop ktra lại dùm e"
385,khách 1353 bn vậy
386,khách 5656 dạ
387,khách 4708 dạ
388,khách 11237 e oi
389,khách 1447 thế có trả lại được ko shop
390,nếu còn váy này shop cho e đổi sang mã váy này nhé shop
391,"shop ơi váy này màu đen em mặc k đẹp lắm, shop đôi màu màu da cho em dc k ak"
392,khách 12471 em ơi sao đồ chị đặt hôm giờ cả tuần rồi ko giao vậy
393,khách 957 e gỡ ra nó chạy nó vẫn bị lắc như vây ạ
394,khách 6509 shop ơi
395,"em mặc màu cam này k hợp lắm, cho e đổi sang màu vàng dc k s"
396,khách 896 mua mấy mẫu của shop ưng lắm
397,sarah ngo cho c 2 hộp dán nhe
398,"Shop giao lộn màu cho em r , mẫu này em đặt màu rêu s giao san ho "
399,khách 10387 cho e xin gia voi ạ
400,khách 1027 đã chuyển 65 nghìn quần nịt bụng ạ
401,khách 1047 mẫu nay thì sao sai m 175k
402,khách 930 ben c còn set này k ạ
403,khách 737 tinh đơn c bao nhiwu e
404,khách 8307 dạ cám ơn c ạ
405,khách 4310 aloo
406,khách 1026 quàn này on k ơi
407,khách 933 shop ll lại giúp e nhé
408,khách 9742 cv bn z còn size m ko ai
409,khách 738 áo này giá bn có size ko ạ
410,khách 8500 e oi lấy giup c 3 mẫu này nhé
411,khách 2357 dạ ok shop
412,khách 950 e muon mua cái đâm đó
413,khách 12566 dạ
414,khách 2497 kiểm tra giúp mình cái váy đỏ nhé
415,khách 389 nhắn một tin là ko nhắn nữa
416,khách 1629 alo
417,bùi thanh thuy shop ơi
418,"shop gui nham mau cho em r , em dat xanh mà shop giao xanh chuối"
419,khách 4547 bộ nay bn vây shop
420,khách 11442 shop ơi
421,khách 1305 thảoxxxxx check xem giúp c mã này nha và size j tầm bn kg nha giá bn nhé
422,khách 643 còn mẫu này ko c
423,khách 12136 đặt đầm 185k mã 04 mà giao áo crop top
424,khách 12893 gọi tư vấn mìn với
425,em dạt set caro lam sẫm đen mà shop giao gì kỳ v
426,khách 11391 em
427,khách 6365 ok em
428,khách 3235 bên e có 1 màu thôi ak
429,khách 472 sét trắng còn k e
430,mỹ trang alo
431,khách 6198 cua e tinh tien bao nhiêu ah
432,nguyễn vân vân mẫu này con ko c
433,khách 1948 áo dài này có size s và bn tiền
434,màu kem
435,khách 765 shop po
436,khách 6576 da
437,khách 738 ok shop
438,khách 8692 hôm nay nhận đc đơn hàng mà shop gửi lộn đồ rùi
439,khách 1563 còn đầm này k ạ
440,khách 10448 bi sot 1 đầm mà thu đủ
441,khách 8959 2 mẫu này đẹp quá trời luôn nè chị
442,khách 6627 đẹp quá ah
443,khách 710 c đặt lâu rồi có ng gọi chốt sao h vẫn chưa thấy hàng em ơi
444,khách 421 facebook hằng phan
445,khách 4249 dạ
446,khách 4225 sh ơi
447,"e ơi, chị vừa nhận đầm mà thấy màu này k hợp với c,cho đỏi lấy do son đc kh e"
448,khách 6383 quần 90 sét 185 tc 275 ship 20 là 295 vây sao shipber lúc nào cũng lại lấy hơn hết là sao
449,khách 771 uk
450,khách 6148 e co gui lai shop
451,khách 789 do c bận k coi live nên k mua gì them ak
452,khách 771 tk em nha
453,khách 1021 shop ơi sao giao hàng lỗi cho em vậy mới nhận hàng vô nhà tháo ra chưa mở khoá nữa thì cái nắp giỏ bung lên vậy
454,"sốp ơi, cho em đổi màu này lấy màu bac đc k , em k thích màu này cho lắm"
455,khách 109 dạo này ship rất kỳ lần nào hẹn cũng k giao xong lại hoàn đồ ngta về
456,khách 727 em gửi cho c nhé
457,khách 5830 c oi hang e moi nhâ n bi ra ch rô i ak
458,khách 439 e gọi số shop k đc
459,khách 12950 gởi bill cho chị nhé em chị chuyển khoản tại chị lu bu công chuyện nhiều sợ em điện chị không nghe được
460,khách 935 shop còn về set váy vét không ạ
461,khách 5703 gia nhieu vay shop
462,khách 509 shop ơi bên shop còb dây vòng cổ nào k ạ
463,khách 786 lấy c 2 mẫu này nha e
464,khách 484 sao giao đầm e bj lỗi sợi shop oi
465,khách 684 dạ nuoc hoa đỏ nhung 159k
466,khách 3620 ok
467,khách 3578 alooo
468,khách 397 oke e
469,khách 4189 chật k vậy chị
470,khách 7589 co gi goi lai chốt đơn dum m nha shop
471,"shop ơi váy này màu đen em mặc k đẹp lắm, shop đôi màu long dao cho em dc k ak"
472,"em mặc màu cam này k hợp lắm, cho e đổi sang màu xanh da trời dc k s"
473,"-Shop ơi, set này mình mới nhận nhưng thấy k đẹp lắm, shop cho mình đổi qua set khác đc không

-Shop ơi, set hồng sẫm này mình mặc k hợp lắm,mình đổi sét khác dc k
"
474,khách 1392 mau nay còn màu khac k shop
475,Shop chốt size l rồi lại giao size s cho mình v sốp
476,khách 6444 mà giao e s
477,bùi thanh thuy còn hok shop
478,"shop ơi em đặt mẫu này màu vàng mà về trông hơi dừ , em đổi qua màu voi voi đc k"
479,khách 2311 ok shop
480,khách 8683 ok c
481,khách 8541 em mới nhận rồi chị đồ đẹp cảm ơn chị
482,khách 190 k có khi nào chốt được hết c ơi
483,khách 5803 shop oi
484,khách 943 áo này shop còn ko ạ
485,khách 6695 mẫu có size k ạ
486,"E đặt mầu trắng , shop giao lộn em màu vàng , đổi lại cho em với ạ"
487,Ủa shop sao em đặt size XL mà giao size S cho em vậy
488,khách 3937 ok
489,khách 732 bn tiên em chị quên rồi
490,khách 416 sét size l số điện thoạixxxxx nhà máy may hòa quý ngũ hành sơn đà nẵng
491,khách 9633 mình lấy màu kem nha
492,khách 1377 c goi ko dc ai het
493,"em thường mặc đồ bên shop size S  mà sao nay nhận set này chật quá, em muốn đổi qua size l ạ"
494,khách 3109 đơn chị tổng tiền mấy à
495,"shop ktra lại dùm e , e đặt set caro trắng tia mà nay lại ship set nay cho e "
496,khách 958 ok e
497,khách 8722 ship bn ạ
498,khách 11274 shop ơi em vừa nhận được đơn hàng nhưng bị chật ạ shop có thể đổi giúp em được không em chịu tiền ship ạ
499,khách 732 shop ship nhầm hàng cho mình roi
500,đổi màu da lấy mình màu hồng đc k sh
501,khách 4991 ben em con hang doi cho chi khong
502,khách 5157 bao nhiêu ạ
503,khách 4049 bn ạ
504,khách 2123 có size 65kg k ạ
505,khách 1240 mà shop gửi lộn cho e màu đỏ rui ạ
506,"Shop giao sai màu cho e r, đặt màu hồng sao giao màu luc bao"
507,"S ship nhầm mau cho mình mình , m dat tim mà giao cam , cho mình voi voii lai "
508,khách 2845 e mua cái đầm này nha
509,khách 377 sop con 2 mau nay k
510,khách 12341 tối mình đặt 2 mẫu này mà chưa thấy ai gọi chốt đơn
511,khách 6921 cho mình hỏi giá áo bạn mẫu mặc ạ
512,khách 5776 chị ơi
513,khách 486 còn đầm c đang cầm k c
514,khách 704 nên ko nghe máy đc
515,khách 791 dạ e k có đơn trên live
516,"Giao lộn mau cho em r shop, cho em xanh nõn chuốii lai a"
517,đỗ thuý hằng c ơi
518,"Shop ơi size xl mình mặc hơi rộng ,cho m đổi lại size XL nha"
519,khách 790 mẫu này nek w
520,khách 10828 shop check tn dùm mìh nha
521,Sao e đạt sai l mà shop giao size M cho e vậy
